Node_Index_0based,Node_Index_1based,Parcel_Label,Structure_Type,Hemisphere,Anatomical_Region,Yeo_Network,FSL_Label,In_Posterior_Hot_Zone,In_Global_Neuronal_Workspace
229,230,7Networks_LH_DorsAttn_PrCv_1,Cortex,Left,PrCv,Dorsal_Attention,-1,0,0
230,231,7Networks_LH_DorsAttn_PrCv_2,Cortex,Left,PrCv,Dorsal_Attention,-1,0,0
231,232,7Networks_LH_DorsAttn_PrCv_3,Cortex,Left,PrCv,Dorsal_Attention,-1,0,0
232,233,7Networks_LH_DorsAttn_PrCv_4,Cortex,Left,PrCv,Dorsal_Attention,-1,0,0
233,234,7Networks_LH_SalVentAttn_ParOper_1,Cortex,Left,ParOper,Salience_Ventral_Attention,-1,1,1
234,235,7Networks_LH_SalVentAttn_ParOper_2,Cortex,Left,ParOper,Salience_Ventral_Attention,-1,1,1
235,236,7Networks_LH_SalVentAttn_ParOper_3,Cortex,Left,ParOper,Salience_Ventral_Attention,-1,1,1
236,237,7Networks_LH_SalVentAttn_ParOper_4,Cortex,Left,ParOper,Salience_Ventral_Attention,-1,1,1
237,238,7Networks_LH_SalVentAttn_ParOper_5,Cortex,Left,ParOper,Salience_Ventral_Attention,-1,1,1
238,239,7Networks_LH_SalVentAttn_ParOper_6,Cortex,Left,ParOper,Salience_Ventral_Attention,-1,1,1
239,240,7Networks_LH_SalVentAttn_ParOper_7,Cortex,Left,ParOper,Salience_Ventral_Attention,-1,1,1
240,241,7Networks_LH_SalVentAttn_ParOper_8,Cortex,Left,ParOper,Salience_Ventral_Attention,-1,1,1
241,242,7Networks_LH_SalVentAttn_ParOper_9,Cortex,Left,ParOper,Salience_Ventral_Attention,-1,1,1
242,243,7Networks_LH_SalVentAttn_TempOcc_1,Cortex,Left,TempOcc,Salience_Ventral_Attention,-1,1,1
243,244,7Networks_LH_SalVentAttn_TempOcc_2,Cortex,Left,TempOcc,Salience_Ventral_Attention,-1,1,1
244,245,7Networks_LH_SalVentAttn_FrOperIns_1,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
245,246,7Networks_LH_SalVentAttn_FrOperIns_2,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
246,247,7Networks_LH_SalVentAttn_FrOperIns_3,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
247,248,7Networks_LH_SalVentAttn_FrOperIns_4,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
248,249,7Networks_LH_SalVentAttn_FrOperIns_5,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
249,250,7Networks_LH_SalVentAttn_FrOperIns_6,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
250,251,7Networks_LH_SalVentAttn_FrOperIns_7,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
251,252,7Networks_LH_SalVentAttn_FrOperIns_8,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
252,253,7Networks_LH_SalVentAttn_FrOperIns_9,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
253,254,7Networks_LH_SalVentAttn_FrOperIns_10,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
254,255,7Networks_LH_SalVentAttn_FrOperIns_11,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
255,256,7Networks_LH_SalVentAttn_FrOperIns_12,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
256,257,7Networks_LH_SalVentAttn_FrOperIns_13,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
257,258,7Networks_LH_SalVentAttn_FrOperIns_14,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
258,259,7Networks_LH_SalVentAttn_FrOperIns_15,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
259,260,7Networks_LH_SalVentAttn_FrOperIns_16,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
260,261,7Networks_LH_SalVentAttn_FrOperIns_17,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
261,262,7Networks_LH_SalVentAttn_FrOperIns_18,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
262,263,7Networks_LH_SalVentAttn_FrOperIns_19,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
263,264,7Networks_LH_SalVentAttn_FrOperIns_20,Cortex,Left,FrOperIns,Salience_Ventral_Attention,-1,0,1
